kegg_drug,pubchem_sid,pubchem_cid
D05407,47207082,135398748
D05453,47207122,9795678
D05458,47207127,4771
D05461,47207130,23724987
D05740,47207401,19610426
D05792,47207453,5152
D05938,47207596,41693
D06056,47207714,135409453
D06106,47207764,3032285
D06172,47207830,38945
D06238,47207896,5583
D06396,47208053,3035241
