pubchem_cid,ligand_title,ranked_uniprots,expected_supported_target_degree,known_yamanishi_targets_in_affinity_file,known_any_supported_targets_in_affinity_file
4594,Prilosec,7398,2.475260950923817,0,0
5756,Estriol,7581,2.474536171522151,0,0
517321,Proparacaine Hydrochloride,7129,2.473179103178206,0,0
9878,Fluorometholone,7460,2.4587959186398076,2,2
6100,Bretylium Tosylate,7401,2.4541033137312036,2,2
8366,Etryptamine Acetate,7203,2.44694611357623,2,2
5281078,Mycophenolate Mofetil,7455,2.444936084076123,2,2
107952,Betaxolol Hydrochloride,7472,2.430345739982574,2,2
10649,Dequalinium Chloride,7514,2.4245445632220943,2,2
5997,Cholesterol,7577,2.4239066378835656,1,7
5282415,Dinoprost Tromethamine,7427,2.4210934551087817,3,3
54677470,Meloxicam,7236,2.412841565586073,2,2
208850,Dobutamine Tartrate,7427,2.4064640250974096,2,2
66383,Cetiedil Citrate,7348,2.4054165944164043,2,2
4091,Metformin,7479,2.380010441522097,0,2
65494,Sufentanil Citrate,7335,2.372933399635414,1,1
150311,Ezetimibe,7384,2.367271064207709,2,4
66068,Procainamide Hydrochloride,6774,2.3654348917895267,0,0
6436002,Dalvastatin,7460,2.3571144221273697,0,0
156422,Doramapimod,7348,2.3563238406234386,2,2
6081,"2-Amino-1-(2,5-dimethoxyphenyl)propan-1-ol hydrochloride",7475,2.3548673678160728,0,0
5281004,Budesonide,7521,2.3431002550941815,1,1
54677971,Tenoxicam,7237,2.327737091165619,2,2
60781,"L-Prolinamide, N-methyl-D-phenylalanyl-N-((1S)-4-((aminoiminomethyl)amino)-1-formylbutyl)-, sulfate (1:1)",7152,2.3201510080474956,2,2
91725,Vascor,7606,2.314603074114238,1,1
92727,Lopinavir,7286,2.3130166386641844,2,2
66070,Mepivacaine Hydrochloride,7085,2.308487987145666,0,0
50963,Cimetidine Hydrochloride,7409,2.3064539241808273,2,2
5282381,Misoprostol,7528,2.3018853418359817,2,2
54891,Quinapril Hydrochloride,7276,2.3010951431710276,1,1
8280,Paramethadione,7543,2.2853650700075017,1,1
36462,Etoposide,7494,2.276509661973718,2,2
107979,"Spiro(8-azoniabicyclo(3.2.1)octane-8,1'-pyrrolidinium), 3-hydroxy-, chloride, benzilate",7618,2.2706403095425682,1,1
6883,Isosorbide Dinitrate,7582,2.2690953922662414,0,0
54670067,L-Ascorbic Acid,7582,2.261325623284524,1,1
5754,Cortisol,7528,2.258741857885682,1,1
5526,4-(Aminomethyl)cyclohexanecarboxylic acid,7479,2.256682350545028,2,2
159324,Tipifarnib,7277,2.251217024028763,2,2
5665,Vigabatrin,7482,2.2492651768429774,0,0
5147,Salicylamide,7480,2.2474826190030304,2,2
2249,Atenolol,7470,2.2449513946376674,2,2
62956,Fosinoprilat,7384,2.235924004002618,1,1
2910,Cyclothiazide,7309,2.2349899702660645,1,1
5281077,Ethchlorvynol,7545,2.232201470478525,1,1
115366,Clopidogrel Bisulfate,7311,2.229186620922856,1,1
5910,Pilocarpine,7479,2.225926368389918,1,1
31640,Halazepam,7319,2.2188140251365636,1,1
159271,Tilmacoxib,7318,2.2085189021298195,2,2
54384,Levocabastine hydrochloride,7286,2.2073017580426884,1,1
5965,Demecarium Bromide,7512,2.204793522432605,2,2
439693,Pentostatin,7327,2.1975896981765097,1,1
3033702,Spiraprilat,7286,2.197280826810822,1,1
6256,Trifluridine,7329,2.194474006656628,1,1
5790,Floxuridine,7331,2.1863642206702547,1,1
135398741,Valacyclovir Hydrochloride,7302,2.1817038018672044,1,1
4616,Oxazepam,7329,2.178828486787178,1,1
5362129,Ramipril,7384,2.1782194221040014,1,1
216457,Solifenacin Succinate,7443,2.1768004833095325,2,2
5905,Idoxuridine,7331,2.1653931434192946,1,1
247839,Medrysone,7532,2.1610203629917497,1,1
135398748,Penciclovir,7327,2.160091323155184,1,1
23667301,Estrone Sodium Sulfate,7393,2.1588089896300198,1,1
8955,Pregnenolone,7532,2.156228991293825,1,1
5281037,Eprosartan,7271,2.153375360289698,1,1
2541,Candesartan,7281,2.148707359864567,1,1
158781,Olmesartan,7275,2.1451055067385596,1,1
5962,L-Lysine,7479,2.1430612824935746,1,1
2764,Ciprofloxacin,7318,2.1384353109452428,2,2
5311181,Iloprost,7527,2.138309002919315,0,0
5311068,Dexmedetomidine,7542,2.1364042979828883,1,1
151166,Lumiracoxib,7331,2.132400224094017,2,2
10547,Echothiophate Iodide,7336,2.1317065069188605,2,2
71992,Alacepril,7303,2.131155199699087,1,1
23675769,"sodium;1,3-dimethyl-7H-purine-2,6-dione;acetate",7622,2.1303542881120388,2,2
71793,Glyclopyramide,7331,2.129711399672916,1,1
66250,"L-Arginine, monohydrochloride",7330,2.1216646945408386,0,0
4510,Nitroglycerin,7567,2.119705187212841,0,0
135398658,Folic Acid,7355,2.1194894805507984,1,1
2375,Bicalutamide,7211,2.11326706753915,1,1
23663959,Sodium meclofenamate monohydrate,7622,2.1122184262228907,2,2
6279,Medroxyprogesterone Acetate,7578,2.1103914367395817,1,1
16760658,Sodium Salicylate,7622,2.108010983631582,2,2
23681059,Naproxen Sodium,7621,2.1003019228628337,2,2
3749,Irbesartan,7381,2.098455914104074,1,1
5281055,Rosiglitazone Maleate,7188,2.0964742949075164,2,2
61100,Phenelzine Sulfate,6638,2.0924520688852186,2,2
5741,Donepezil Hydrochloride,7455,2.087063942498704,2,2
444972,Fumaric Acid,7545,2.0852744991546794,1,1
2482,Butyl 4-aminobenzoate,7541,2.0790225698189833,1,1
54686350,Choline Salicylate,7475,2.078394249345488,2,2
5282408,Ketotifen Fumarate,7383,2.0782761311434665,2,2
38945,Tocainide,7541,2.074874602455779,1,1
443873,Temocapril Hydrochloride,7282,2.0684700629112043,1,1
4753,Phenacemide,7542,2.0625676488053575,0,0
43815,Paroxetine,7469,2.062177824863039,1,1
5852,Penicillamine,7420,2.0534295973837686,1,1
6726,Cyclizine,7581,2.0399112922921177,1,1
6850814,Spirapril Hydrochloride,7284,2.035665177139281,1,1
443872,Eplerenone,7576,2.034497977065185,1,1
5853,Trichlorfon,7478,2.0339358542469577,2,2
5576,Trimethadione,7505,2.0319628179174263,1,1
15895902,Parecoxib Sodium,7617,2.031785171448767,1,1
4614,Oxaprozin,7472,2.029340334317577,2,2
60846,Valsartan,7283,2.0266225830046296,1,1
936,Nicotinamide,7482,2.0182421493322327,1,1
5360515,Naltrexone,7461,2.0171469552203662,1,5
5280483,Vitamin K,7574,2.01694574044292,0,0
5463984,Benazeprilat,7383,2.014839566755085,1,1
2179,Amsacrine,7385,2.0117208004101257,2,2
16078,Tetrahydrocannabinol,7532,2.005738906563535,1,1
4595,Ondansetron,7472,2.0054058117343567,0,0
60953,Capecitabine,7226,2.003844439133253,1,1
1981,Acemetacin,7385,1.9984865016849402,2,2
30751,Fludarabine Phosphate,7212,1.99746782307614,1,1
5556,Triazolam,7472,1.995366670703697,1,1
4763,Phenobarbital,7538,1.9932303790676131,1,1
445639,Oleic Acid,7534,1.9912972809312157,1,1
5311035,Butaprost,7524,1.9885354756974225,1,1
